symbol,token
RAMKY-EQ,20134
MANGLMCEM-EQ,2106
AXISNIFTY-EQ,21252
MFSL-EQ,2142
AVADHSUGAR-EQ,21406
STEL-EQ,21484
SIS-EQ,21501
ABCAPITAL-EQ,21614
APEX-EQ,21623
BOSCHLTD-EQ,2181
CAPACITE-EQ,21749
NIFTYBETF-EQ,21959
BANKBETF-EQ,21986
ACC-EQ,22
MIRCELECTR-EQ,2202
EBBETF0431-EQ,22239
ITIETF-EQ,22365
EPACK-EQ,22463
BANDHANBNK-EQ,2263
MOTOGENFIN-EQ,2268
RPTECH-EQ,22670
ORICONENT-EQ,10159
SETFNIF50-EQ,10176
FEDERALBNK-EQ,1023
CONFIPET-EQ,10238
SYNGENE-EQ,10243
PPL-EQ,10297
UNITDSPR-EQ,10447
BESTAGRO-EQ,2306
UTINIFTETF-EQ,10511
PONNIERODE-EQ,10661
SCILAL-EQ,23127
SMCGLOBAL-EQ,2320
TIMESGTY-EQ,10717
INDIAMART-EQ,10726
SILVERADD-EQ,10761
CANBK-EQ,10794
SRM-EQ,23402
LIQUIDADD-EQ,23407
GRMOVER-EQ,10871
OMAXAUTO-EQ,10922
JUNIORBEES-EQ,10939
SANGINITA-EQ,11032
BANKIETF-EQ,11037
ASIANPAINT-EQ,236
HDFCVALUE-EQ,11260
TVTODAY-EQ,11275
FILATFASH-EQ,23647
BALAXI-EQ,11309
PTC-EQ,11355
TBOTEK-EQ,23740
BSLGOLDETF-EQ,23804
BIOCON-EQ,11373
KRITINUT-EQ,11432
LICNETFSEN-EQ,11441
CCL-EQ,11452
GULFPETRO-EQ,11581
JSWSTEEL-EQ,11723
63MOONS-EQ,11868
BOROSCI-EQ,24014
MID150CASE-EQ,24077
ESG-EQ,1200
RELAXO-EQ,24225
HNDFDS-EQ,12173
OMINFRAL-EQ,24231
ESTER-EQ,24265
VRAJ-EQ,24321
AAATECH-EQ,12533
FILATEX-EQ,24532
RUSHIL-EQ,24595
RUBFILA-EQ,24730
RPEL-EQ,24735
BSLNIFTY-EQ,24781
PREMIERENE-EQ,25049
GALAPREC-EQ,25134
APLLTD-EQ,25328
MANBA-EQ,25597
UYFINCORP-EQ,25626
HARRMALAYA-EQ,1313
BANKPSU-EQ,25725
ROHLTD-EQ,13182
JAGRAN-EQ,13211
GARUDA-EQ,25800
KELLTONTEC-EQ,13430
AKASH-EQ,13510
VOLTAMP-EQ,13577
WAAREEENER-EQ,25907
AMJLAND-EQ,2598
